Qcmecs
90.686
78.098
71.932
70.925
64.672
57.593
52.684
53.232
59.245
55.654
51.674
46.347
40.245
42.735
42.092
41.402
89.616
164.1
109.74
88.091
76.084
66.295
59.42
55.214
51.476
47.247
44.629
41.975
39.414
36.714
35.641
35.749
34.602
32.041
30.483
29.455
28.271
32.258
37.009
57.495
52.936
47.28
43.038
39.564
36.722
33.737
31.77
29.284
27.816
26.43
26.522
25.392
25.035
23.66
23.559
25.194
37.426
35.615
34.307
62.82
60.583
53.905
52.114
47.817
56.492
76.385
64.901
55.88
49.607
44.53
41.327
38.756
36.902
35.123
32.829
33.54
36.444
35.323
34.176
33.627
33.06
34.966
35.132
35.473
58.915
66.685
58.031
52.989
50.326
49.058
48.203
60.688
68.884
103.87
97.698
78.171
68.415
64.62
63.953
83.462
71.373
60.551
54.521
49.629
45.231
42.011
39.175
36.524
34.108
32.261
30.932
29.59
27.907
26.976
26.24
25.259
23.976
23.315
22.703
24.089
23.486
22.128
20.289
18.525
18.263
18.495
17.911
17.183
16.52
16.015
15.607
15.64
15.384
15.434
14.412
13.773
12.985
11.496
12.825
12.733
11.393
11.824
11.568
11.231
11.079
10.325
9.823
9.958
10.024
9.652
9.448
10.167
12.45
16.672
15.215
28.167
35.057
29.578
23.504
20.99
19.951
20.594
19.794
18.082
16.835
16.111
15.174
14.313
13.503
13.165
12.751
12.03
11.362
11.653
11.983
15.866
20.007
19.945
20.642
18.853
16.736
15.258
14.719
14.012
12.112
11.132
11.21
9.952
9.708
10.236
16.95
13.284
10.892
9.438
10.315
13.83
15.658
15.233
14.348
13.534
12.02
11.193
9.932
9.836
9.287
9.243
8.668
8.67
8.737
9.081
9.176
8.489
8.616
9.364
8.078
7.298
6.789
7.423
7.241
7.245
7.06
7.184
7.753
7.215
7.011
7.465
6.748
6.201
5.97
5.798
6.059
8.956
12.261
11.319
9.871
9.882
9.525
9.272
8.331
7.755
7.376
6.727
7.727
7.903
6.804
6.194
5.981
6.401
6.769
6.581
6.519
6.614
6.922
9.061
12.748
12.683
11.267
10.29
9.606
9.032
14.682
47.67
46.253
48.679
46.299
40.25
35.878
31.522
27.963
24.815
22.28
20.883
19.356
18.217
17.042
16.719
16.643
16.457
16.269
17.656
19.374
20.889
21.182
